cluster,project_id,title
1,10103,長野県の保護猫カフェを改修して、共同シェルターを作りたい！
1,10128,目指せ猫の殺処分ゼロへ！保護した猫に新しい家族を見つけたい！
1,10149,ハンディ猫の保護を目指して！盛岡の中心地にシェルターを開設！
1,10159,片眼で頑張る猫のモモを元気にするために治療を続けたい！
1,10167,沖縄市の老齢化した猫の安住の地をつくり尊い命を守っていきたい
1,10248,愛知県知多半島の海を守る！「ゴミ持ち帰り運動」の定着！
1,10670,小さくても命！野良猫たちの不妊手術と子猫の治療をしたい！
1,10674,人為的に怪我をした「希ちゃん」を人間の手で幸せにしたい！
1,1070,千葉県の畜産を盛り上げる”ガールズユニットＣｏｗＭｉｘ”を応援したい！
1,10898,千葉県東庄町。イノシシから農産物と住民を守りたい！
1,10993,福島の子ども達を福井へ！冬の「福福子どもの笑顔プロジェクト」
1,1168,在宅ケアの現場によろこびを！訪問ドッグセラピープロジェクト！
1,1171,保護犬の「預かり施設」を、犬と人が自然に触れ合える環境に！
1,11825,美味しいジビエ（鹿肉）を、最高の状態で全国の方に届けたい！！
1,1227,ドッグウォーキングイベントで１匹でも多くの捨て犬を救いたい！
1,1321,聴導犬・介助犬に貢献した犬たちの「供養メモリアル」を創りたい
1,13462,地元、南三陸町の海で泳ぎたい！長須賀海水浴場復活大作戦！！
1,13691,沖縄保養プログラムに参加する福島の子どもたちに甲状腺検査を。
1,13704,築200年の古民家を生まれ変わらせ 気軽に帰れる田舎をあなたにも
1,13981,こども達が豊かに育つ【つどいの木】をみんなの想いで残したい！
1,14054,人とクマの共存のために働く犬「ベアドッグ」の出産に挑戦！
1,15341,人の都合で捨てられるヤギを救うため、放牧場を建設したい！
1,1575,動物殺処分ゼロへ！新しい寄付の仕組を導入したサイトを作りたい
1,16490,水俣病歴史考証館開館３０周年記念改修プロジェクト
1,17067,新鮮なお野菜を直接売り買いできるプラットフォームを作りたい！
1,17248,豊田市の鳥獣被害を減らし、捕獲した後しっかりいただくために。
1,17269,さくらねこTNR活動で大阪 梅田を世界一猫に優しい歓楽街に！
1,17309,数が増え飼育しきれなくなった59匹の猫を救ってあげたい。
1,17723,保護猫の『里親募集スペース』再スタートを応援してください！
1,18885,命のバトンを繋げたい！保護猫ちゃん達にずっとのお家を！
1,18998,動物飼育の正しい知識を広めて、人と動物の幸せを考えたい！
1,19240,殺処分ゼロへの一歩。飼い主のいない猫へ不妊手術をしたい
1,19278,無駄に散る動物たちの命を繋げるための動物保護施設を作りたい！
1,19446,国分牧場とお客様をつなぐ！直売×カフェ×農業体験の複合施設を
1,19475,保護猫や老猫、病気の猫の居場所を作りたいと思います。
1,19530,死ぬために生まれた命を見捨てない！第二シェルターを作りました
1,1976,関西の施設で保護された捨て犬捨て猫をハープの音色で癒したい！
1,19781,行き場を無くした保護犬達を幸せへと繋げたい！
1,20328,防災グッツの製造加工場を作りたい！
1,2053,鹿児島だけに生息する『トカラ馬』と触れ合える牧場を創ります！
